model,strategy,cost_floor,copycats,n_signals,n_executed,final_capital,roi,max_drawdown
random_forest,general_ev,0.2,25,128850,2997,10046.827368948383,0.004682736894838308,377.59753993776576
random_forest,general_ev,0.2,50,128850,2827,9935.703224051293,-0.006429677594870736,276.75621892534764
random_forest,general_ev,0.2,100,128850,1991,10003.753498557628,0.00037534985576276087,59.82245431614683
hist_gbm,top5pct_edge,0.001,1,12858,601,12731.997345954447,0.2731997345954447,93.00000000001091
hist_gbm,top5pct_edge,0.001,5,12858,914,12464.01406539494,0.24640140653949402,179.93666666667377
hist_gbm,top5pct_edge,0.001,10,12858,918,11059.18788941115,0.10591878894111505,225.31969302325524
hist_gbm,top5pct_edge,0.001,25,12858,638,10349.634309599964,0.034963430959996364,94.00000000002001
hist_gbm,top5pct_edge,0.001,50,12858,524,10137.718209111903,0.013771820911190297,49.50000000001819
hist_gbm,top5pct_edge,0.001,100,12858,277,10054.734334977871,0.005473433497787119,20.500000000014552
hist_gbm,top5pct_edge,0.01,1,12858,601,12731.997345954447,0.2731997345954447,93.00000000001091
hist_gbm,top5pct_edge,0.01,5,12858,914,12464.01406539494,0.24640140653949402,179.93666666667377
hist_gbm,top5pct_edge,0.01,10,12858,918,11059.18788941115,0.10591878894111505,225.31969302325524
hist_gbm,top5pct_edge,0.01,25,12858,638,10349.634309599964,0.034963430959996364,94.00000000002001
hist_gbm,top5pct_edge,0.01,50,12858,524,10137.718209111903,0.013771820911190297,49.50000000001819
hist_gbm,top5pct_edge,0.01,100,12858,277,10054.734334977871,0.005473433497787119,20.500000000014552
hist_gbm,top5pct_edge,0.05,1,12858,601,12731.997345954447,0.2731997345954447,93.00000000001091
hist_gbm,top5pct_edge,0.05,5,12858,914,12464.01406539494,0.24640140653949402,179.93666666667377
hist_gbm,top5pct_edge,0.05,10,12858,918,11059.18788941115,0.10591878894111505,225.31969302325524
hist_gbm,top5pct_edge,0.05,25,12858,638,10349.634309599964,0.034963430959996364,94.00000000002001
hist_gbm,top5pct_edge,0.05,50,12858,524,10137.718209111903,0.013771820911190297,49.50000000001819
hist_gbm,top5pct_edge,0.05,100,12858,277,10054.734334977871,0.005473433497787119,20.500000000014552
hist_gbm,top5pct_edge,0.1,1,12858,601,12731.997345954447,0.2731997345954447,93.00000000001091
hist_gbm,top5pct_edge,0.1,5,12858,914,12464.01406539494,0.24640140653949402,179.93666666667377
hist_gbm,top5pct_edge,0.1,10,12858,918,11059.18788941115,0.10591878894111505,225.31969302325524
hist_gbm,top5pct_edge,0.1,25,12858,638,10349.634309599964,0.034963430959996364,94.00000000002001
hist_gbm,top5pct_edge,0.1,50,12858,524,10137.718209111903,0.013771820911190297,49.50000000001819
hist_gbm,top5pct_edge,0.1,100,12858,277,10054.734334977871,0.005473433497787119,20.500000000014552
hist_gbm,top5pct_edge,0.2,1,12858,597,12709.042345954447,0.2709042345954447,92.00000000001091
hist_gbm,top5pct_edge,0.2,5,12858,913,12463.030732061608,0.24630307320616085,180.92000000000735
hist_gbm,top5pct_edge,0.2,10,12858,919,11058.18788941115,0.10581878894111506,226.31969302325524
hist_gbm,top5pct_edge,0.2,25,12858,638,10349.634309599964,0.034963430959996364,94.00000000002001
hist_gbm,top5pct_edge,0.2,50,12858,524,10137.718209111903,0.013771820911190297,49.50000000001819
hist_gbm,top5pct_edge,0.2,100,12858,277,10054.734334977871,0.005473433497787119,20.500000000014552
