model,strategy,initial_capital,max_bet_pct,n_signals,n_executed,final_capital,roi,max_drawdown,skipped_capital,skipped_concentration
hist_gbm,top1pct_edge,1000,0.05,2571,77,971.0000000000005,-0.028999999999999547,28.99999999999966,0,2088
hist_gbm,top1pct_edge,1000,0.1,2571,76,971.0000000000005,-0.028999999999999547,28.999999999999545,0,2153
hist_gbm,top1pct_edge,10000,0.01,2571,358,9955.000000000002,-0.004499999999999818,45.00000000000182,0,0
hist_gbm,top1pct_edge,10000,0.05,2571,358,9955.000000000004,-0.004499999999999636,45.00000000000182,0,0
hist_gbm,top1pct_edge,10000,0.1,2571,358,9955.000000000004,-0.004499999999999636,45.00000000000182,0,0
hist_gbm,top1pct_edge,100000,0.01,2571,358,99954.99999999999,-0.00045000000000014554,45.00000000001455,0,0
hist_gbm,top1pct_edge,100000,0.05,2571,358,99954.99999999999,-0.00045000000000014554,45.00000000001455,0,0
hist_gbm,top1pct_edge,100000,0.1,2571,358,99954.99999999999,-0.00045000000000014554,45.00000000001455,0,0
hist_gbm,top5pct_edge,1000,0.01,12858,178,1211.8290953925182,0.21182909539251818,44.999999999999545,0,10788
hist_gbm,top5pct_edge,1000,0.05,12858,130,1228.565373656239,0.228565373656239,32.0,0,11706
hist_gbm,top5pct_edge,1000,0.1,12858,130,1228.565373656239,0.228565373656239,32.0,0,11706
hist_gbm,top5pct_edge,10000,0.01,12858,922,11059.187889411149,0.10591878894111487,225.31969302325524,0,7146
hist_gbm,top5pct_edge,10000,0.05,12858,918,11059.18788941115,0.10591878894111505,225.31969302325524,0,7159
hist_gbm,top5pct_edge,10000,0.1,12858,918,11059.18788941115,0.10591878894111505,225.31969302325524,0,7159
hist_gbm,top5pct_edge,100000,0.01,12858,2054,101016.18788941155,0.010161878894115507,268.31969302298967,0,0
hist_gbm,top5pct_edge,100000,0.05,12858,2054,101016.18788941155,0.010161878894115507,268.31969302298967,0,0
hist_gbm,top5pct_edge,100000,0.1,12858,2054,101016.18788941155,0.010161878894115507,268.31969302298967,0,0
hist_gbm,phat_gt_0.9,1000,0.01,0,0,1000.0,0.0,0.0,0,0
hist_gbm,phat_gt_0.9,1000,0.05,0,0,1000.0,0.0,0.0,0,0
hist_gbm,phat_gt_0.9,1000,0.1,0,0,1000.0,0.0,0.0,0,0
hist_gbm,phat_gt_0.9,10000,0.01,0,0,10000.0,0.0,0.0,0,0
hist_gbm,phat_gt_0.9,10000,0.05,0,0,10000.0,0.0,0.0,0,0
hist_gbm,phat_gt_0.9,10000,0.1,0,0,10000.0,0.0,0.0,0,0
hist_gbm,phat_gt_0.9,100000,0.01,0,0,100000.0,0.0,0.0,0,0
hist_gbm,phat_gt_0.9,100000,0.05,0,0,100000.0,0.0,0.0,0,0
hist_gbm,phat_gt_0.9,100000,0.1,0,0,100000.0,0.0,0.0,0,0
