model,strategy,initial_capital,max_bet_pct,liquidity_scaler,n_signals,n_executed,final_capital,roi,max_drawdown,skipped_capital,skipped_concentration
random_forest,general_ev_cheap,10000,0.05,0.1,51097,1279,1248.9968359429838,-0.8751003164057016,8751.003164057016,0,41256
random_forest,general_ev_cheap,10000,0.1,1.0,51097,759,1197.8842949002794,-0.8802115705099721,8802.11570509972,0,41079
random_forest,general_ev_cheap,10000,0.1,0.1,51097,1270,1167.069098844096,-0.8832930901155903,8832.930901155903,0,41257
random_forest,general_ev_cheap,100000,0.01,1.0,51097,5518,32453.49253716488,-0.6754650746283511,67546.50746283511,0,39887
random_forest,general_ev_cheap,100000,0.01,0.1,51097,5283,63389.55203999995,-0.3661044796000005,36610.44796000005,0,19602
random_forest,general_ev_cheap,100000,0.05,1.0,51097,5518,32453.49253716488,-0.6754650746283511,67546.50746283511,0,39887
random_forest,general_ev_cheap,100000,0.05,0.1,51097,5283,63389.55203999995,-0.3661044796000005,36610.44796000005,0,19602
random_forest,general_ev_cheap,100000,0.1,1.0,51097,5518,32453.49253716488,-0.6754650746283511,67546.50746283511,0,39887
random_forest,general_ev_cheap,100000,0.1,0.1,51097,5283,63389.55203999995,-0.3661044796000005,36610.44796000005,0,19602
random_forest,general_ev_late,1000,0.01,1.0,1898,270,239.5973694361805,-0.7604026305638194,760.4026305638195,0,1322
random_forest,general_ev_late,1000,0.01,0.1,1898,277,327.0297884422639,-0.6729702115577361,672.9702115577361,0,1004
random_forest,general_ev_late,1000,0.05,1.0,1898,139,161.18177119652694,-0.838818228803473,838.8182288034731,0,1404
random_forest,general_ev_late,1000,0.05,0.1,1898,208,161.60693262629394,-0.8383930673737061,838.3930673737061,0,1146
random_forest,general_ev_late,1000,0.1,1.0,1898,106,154.63973983206287,-0.8453602601679371,845.3602601679371,0,1412
random_forest,general_ev_late,1000,0.1,0.1,1898,172,150.53729405753003,-0.84946270594247,849.4627059424699,0,1163
random_forest,general_ev_late,10000,0.01,1.0,1898,527,3576.821705109829,-0.6423178294890171,6423.178294890171,0,1032
random_forest,general_ev_late,10000,0.01,0.1,1898,467,6783.43497702605,-0.32165650229739506,3216.5650229739504,0,0
random_forest,general_ev_late,10000,0.05,1.0,1898,522,1628.1285267866779,-0.8371871473213323,8371.871473213323,0,1038
random_forest,general_ev_late,10000,0.05,0.1,1898,467,6475.385047368418,-0.35246149526315823,3524.614952631582,0,0
random_forest,general_ev_late,10000,0.1,1.0,1898,522,1431.9780005216876,-0.8568021999478312,8568.021999478313,0,1038
random_forest,general_ev_late,10000,0.1,0.1,1898,467,6475.385047368418,-0.35246149526315823,3524.614952631582,0,0
random_forest,general_ev_late,100000,0.01,1.0,1898,1058,86505.06052631584,-0.13494939473684164,13494.939473684164,0,0
