model,strategy,cost_floor,copycats,n_signals,n_executed,final_capital,roi,max_drawdown
random_forest,general_ev,0.05,50,115282,2241,9468.999999999978,-0.05310000000000218,531.0000000000218
random_forest,general_ev,0.05,100,115282,1924,9553.999999999998,-0.04460000000000018,446.0000000000018
random_forest,general_ev,0.1,1,119201,1374,11332.778534748548,0.1332778534748548,309.00000000001455
random_forest,general_ev,0.1,5,119201,1947,11535.72721013436,0.15357272101343605,408.0000000000091
random_forest,general_ev,0.1,10,119201,2009,10719.440849111255,0.07194408491112554,400.49999999999636
random_forest,general_ev,0.1,25,119201,2347,9516.500000000027,-0.04834999999999727,483.49999999997453
random_forest,general_ev,0.1,50,119201,2412,9490.999999999982,-0.05090000000000182,509.0000000000182
random_forest,general_ev,0.1,100,119201,2082,9581.499999999985,-0.041850000000001455,418.50000000001455
random_forest,general_ev,0.2,1,128850,3696,19327.391562229837,0.9327391562229838,187.00000000000728
random_forest,general_ev,0.2,5,128850,3255,13592.997316002009,0.3592997316002009,191.99999999998545
random_forest,general_ev,0.2,10,128850,3340,11769.271341920865,0.1769271341920865,111.00000000000728
random_forest,general_ev,0.2,25,128850,2997,10158.963030804027,0.015896303080402685,93.99999999998545
random_forest,general_ev,0.2,50,128850,2827,10085.163337976635,0.008516333797663537,95.00000000000728
random_forest,general_ev,0.2,100,128850,1991,10004.012021057628,0.00040120210576278625,59.50000000001273
hist_gbm,top5pct_edge,0.001,1,12858,601,12731.997345954447,0.2731997345954447,93.00000000001091
hist_gbm,top5pct_edge,0.001,5,12858,914,12464.01406539494,0.24640140653949402,179.93666666667377
hist_gbm,top5pct_edge,0.001,10,12858,918,11059.18788941115,0.10591878894111505,225.31969302325524
hist_gbm,top5pct_edge,0.001,25,12858,638,10349.634309599964,0.034963430959996364,94.00000000002001
hist_gbm,top5pct_edge,0.001,50,12858,524,10137.718209111903,0.013771820911190297,49.50000000001819
hist_gbm,top5pct_edge,0.001,100,12858,277,10054.734334977871,0.005473433497787119,20.500000000014552
hist_gbm,top5pct_edge,0.01,1,12858,601,12731.997345954447,0.2731997345954447,93.00000000001091
hist_gbm,top5pct_edge,0.01,5,12858,914,12464.01406539494,0.24640140653949402,179.93666666667377
hist_gbm,top5pct_edge,0.01,10,12858,918,11059.18788941115,0.10591878894111505,225.31969302325524
hist_gbm,top5pct_edge,0.01,25,12858,638,10349.634309599964,0.034963430959996364,94.00000000002001
hist_gbm,top5pct_edge,0.01,50,12858,524,10137.718209111903,0.013771820911190297,49.50000000001819
hist_gbm,top5pct_edge,0.01,100,12858,277,10054.734334977871,0.005473433497787119,20.500000000014552
hist_gbm,top5pct_edge,0.05,1,12858,601,12731.997345954447,0.2731997345954447,93.00000000001091
hist_gbm,top5pct_edge,0.05,5,12858,914,12464.01406539494,0.24640140653949402,179.93666666667377
hist_gbm,top5pct_edge,0.05,10,12858,918,11059.18788941115,0.10591878894111505,225.31969302325524
hist_gbm,top5pct_edge,0.05,25,12858,638,10349.634309599964,0.034963430959996364,94.00000000002001
hist_gbm,top5pct_edge,0.05,50,12858,524,10137.718209111903,0.013771820911190297,49.50000000001819
hist_gbm,top5pct_edge,0.05,100,12858,277,10054.734334977871,0.005473433497787119,20.500000000014552
hist_gbm,top5pct_edge,0.1,1,12858,601,12731.997345954447,0.2731997345954447,93.00000000001091
hist_gbm,top5pct_edge,0.1,5,12858,914,12464.01406539494,0.24640140653949402,179.93666666667377
hist_gbm,top5pct_edge,0.1,10,12858,918,11059.18788941115,0.10591878894111505,225.31969302325524
hist_gbm,top5pct_edge,0.1,25,12858,638,10349.634309599964,0.034963430959996364,94.00000000002001
hist_gbm,top5pct_edge,0.1,50,12858,524,10137.718209111903,0.013771820911190297,49.50000000001819
hist_gbm,top5pct_edge,0.1,100,12858,277,10054.734334977871,0.005473433497787119,20.500000000014552
hist_gbm,top5pct_edge,0.2,1,12858,597,12709.042345954447,0.2709042345954447,92.00000000001091
hist_gbm,top5pct_edge,0.2,5,12858,913,12463.030732061608,0.24630307320616085,180.92000000000735
hist_gbm,top5pct_edge,0.2,10,12858,919,11058.18788941115,0.10581878894111506,226.31969302325524
hist_gbm,top5pct_edge,0.2,25,12858,638,10349.634309599964,0.034963430959996364,94.00000000002001
hist_gbm,top5pct_edge,0.2,50,12858,524,10137.718209111903,0.013771820911190297,49.50000000001819
hist_gbm,top5pct_edge,0.2,100,12858,277,10054.734334977871,0.005473433497787119,20.500000000014552
